OTU,Sample,Abundance,ID,Day,Type,Sites,Treatment,Treatment1,Treatment2,Group,Domain,Phylum,Class,Order,Family,Genus,Species,taxa_OTU,order_OTU
AY395326.1.1461,D0.03,45,D0.03,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D0.10,42,D0.10,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.09,74,D7.09,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.10,70,D7.10,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.15,69,D7.15,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.13,66,D7.13,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.14,59,D7.14,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.03,54,D7.03,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.08,52,D7.08,7,DNA,D7(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.01,51,D7.01,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.11,44,D7.11,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D7.02,42,D7.02,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D14.04,62,D14.04,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D14.06,58,D14.06,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D14.03,57,D14.03,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D14.02,56,D14.02,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D14.07,47,D14.07,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D14.08,41,D14.08,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.09,94,D21.09,21,DNA,D21(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.16,73,D21.16,21,DNA,D21(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.10,68,D21.10,21,DNA,D21(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.11,66,D21.11,21,DNA,D21(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.08,60,D21.08,21,DNA,D21(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.04,49,D21.04,21,DNA,D21(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D21.01,46,D21.01,21,DNA,D21(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D35.07,56,D35.07,35,DNA,D35(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D35.06,54,D35.06,35,DNA,D35(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D35.05,54,D35.05,35,DNA,D35(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D35.03,41,D35.03,35,DNA,D35(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D35.01,19,D35.01,35,DNA,D35(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D35.02,19,D35.02,35,DNA,D35(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.11,98,D63.11,63,DNA,D63(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.14,96,D63.14,63,DNA,D63(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.13,96,D63.13,63,DNA,D63(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.09,94,D63.09,63,DNA,D63(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.10,89,D63.10,63,DNA,D63(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.15,81,D63.15,63,DNA,D63(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.05,55,D63.05,63,DNA,D63(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.06,54,D63.06,63,DNA,D63(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.01,44,D63.01,63,DNA,D63(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.07,39,D63.07,63,DNA,D63(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.02,35,D63.02,63,DNA,D63(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
AY395326.1.1461,D63.03,23,D63.03,63,DNA,D63(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Spartobacteria,D_3__Chthoniobacterales,D_4__DA101 soil group,D_5__uncultured bacterium,D_6__uncultured bacterium,AY395326.1.1461,33: f_DA101 soil group
EF019832.1.1339,D0.03,281,D0.03,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.01,253,D0.01,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.07,224,D0.07,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.11,218,D0.11,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.02,209,D0.02,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.10,202,D0.10,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.09,189,D0.09,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.05,188,D0.05,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.15,185,D0.15,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.08,181,D0.08,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.13,166,D0.13,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D0.14,137,D0.14,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.14,226,D7.14,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.09,181,D7.09,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.13,154,D7.13,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.02,147,D7.02,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.15,135,D7.15,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.03,134,D7.03,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.10,132,D7.10,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.01,126,D7.01,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.11,100,D7.11,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D7.08,56,D7.08,7,DNA,D7(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D14.02,71,D14.02,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D14.06,67,D14.06,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D14.03,64,D14.03,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
EF019832.1.1339,D14.08,60,D14.08,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__uncultured bacterium,D_6__uncultured bacterium,EF019832.1.1339,31: f_Xanthobacteraceae
