ID	Day	pH	NH4-N	NO3-N	NO2-N	Moisture	N2O-N	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	16S	nosZI	nirS	AOB	AOA	nifH	nosZI_P	nirS_P	AOB_P	AOA_P	nifH_P	Group_DNA	Group_cDNA	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
D0.10R	0	5.68	2.5	49.7	0.015703067	53.4	43.16732844	D0.10R	cDNA	D0(1.0kPa-N)	D0(1.0kPa-N)_	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA		22160499	1520.122803	8598.442261	1936.193268	10361.53674	8494.694336	0.006859606	0.038800761	0.008737138	0.046756784	0.038332595				No_Urea_1.0kPa		1
D0.11R	0	5.74	6.2	42.3	0	50.7	28.35363083	D0.11R	cDNA	D0(1.0kPa-N)	D0(1.0kPa-N)_	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA		4573142.813	290.1142197	1514.441101	782.3824158	1944.001404	1940.515198	0.00634387	0.033115981	0.0171082	0.04250909	0.042432858					No_Urea_1.0kPa	1
D0.13R	0	5.61	1.8	55.3	0.0198027	30.1	36.50695939	D0.13R	cDNA	D0(10kPa-N)	D0(10kPa-N)_	0	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA		11894910.75	134.1992779	2935.051636	421.1823578	1408.237366	1457.515411	0.001128208	0.024674852	0.003540862	0.011838991	0.012253269			No_Urea_10kPa			1
D0.14R	0	5.54	1.5	45.7	0.005067435	31.1	34.52257362	D0.14R	cDNA	D0(10kPa-N)	D0(10kPa-N)_	0	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA		51504824	1364.536499	9058.340332	1758.135223	10289.07031	9450.303223	0.002649337	0.017587363	0.003413535	0.019976906	0.018348385				No_Urea_10kPa		1
D0.15R	0	5.64	1.5	57.9	0.009813265	31.3	35.5147665	D0.15R	cDNA	D0(10kPa-N)	D0(10kPa-N)_	0	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA		52694411	2562.739319	14519.09937	3397.06897	10015.87048	11497.2063	0.004863399	0.027553395	0.006446735	0.019007463	0.021818645	HM_N				No_Urea_10kPa	1
D7.01R	07	8.54	1603	40.8	4.304342595	53.5	50.36139319	D7.01R	cDNA	D7(1.0kPa+N)	D7(1.0kPa+N)_	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	203523414	20796.24658	17898.65164	29023.58691	12527.04822	23450.41919	0.01021811	0.008794394	0.014260564	0.00615509	0.011522222	HM_N		Urea_1.0kPa			2
D7.02R	07	8.38	1167	75.8	3.420592669	55.1	30.60603044	D7.02R	cDNA	D7(1.0kPa+N)	D7(1.0kPa+N)_	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	86126746	9236.801147	8417.753662	16478.0979	9541.798706	18935.59668	0.010724661	0.009773681	0.019132382	0.011078787	0.021985733	HM_N			Urea_1.0kPa		2
D7.03R	07	8.46	1204.7	94.6	3.056149372	56	113.1089311	D7.03R	cDNA	D7(1.0kPa+N)	D7(1.0kPa+N)_	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	83608088	12805.97876	12928.5979	29163.33252	11943.41772	19882.75098	0.015316675	0.015463334	0.034880994	0.014285003	0.023780894	LM				Urea_1.0kPa	2
D7.08R	07	8.61	1476	52.7	1.162592818	28.1	207.7289777	D7.08R	cDNA	D7(10kPa+N)	D7(10kPa+N)_	7	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	8141844.625	6373.30603	1406.795044	2063.28894	1449.865814	3576.987488	0.078278404	0.017278579	0.025341787	0.017807584	0.043933379	HM		Urea_10kPa	Urea_10kPa	Urea_10kPa	2
D7.09R	07	5.42	2.9	37	0	64.9	178.7980846	D7.09R	cDNA	D7(1.0kPa-N)	D7(1.0kPa-N)_	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	9261866.25	775.0196724	4681.320984	990.4394836	4683.449585	4429.409119	0.008367857	0.050544036	0.010693736	0.050567018	0.047824153	HM		No_Urea_1.0kPa			2
D7.10R	07	5.51	1.5	25.9	0	66.8	236.6598709	D7.10R	cDNA	D7(1.0kPa-N)	D7(1.0kPa-N)_	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	9663569.25	777.1958313	3366.903595	1428.919617	5884.808838	4467.657227	0.008042534	0.034841201	0.014786665	0.060896846	0.046231958	HM			No_Urea_1.0kPa		2
D7.11R	07	5.42	2.3	30.8	0	49.7	39.20632027	D7.11R	cDNA	D7(1.0kPa-N)	D7(1.0kPa-N)_	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	9806108	671.3207779	3492.946899	1084.339142	4764.169739	3442.634033	0.006845945	0.035620115	0.011057793	0.048583696	0.035107038	LM				No_Urea_1.0kPa	2
D7.13R	07	5.33	2	0	0	27.1	0	D7.13R	cDNA	D7(10kPa-N)	D7(10kPa-N)_	7	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	9707900.75	487.7963715	5105.270508	1240.535446	4102.106445	4732.203918	0.005024736	0.052588821	0.012778617	0.04225534	0.048745903	LM		No_Urea_10kPa			2
D7.14R	07	5.55	2.2	41.3	0.037823431	27.7	0	D7.14R	cDNA	D7(10kPa-N)	D7(10kPa-N)_	7	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	7592543	429.4140167	3727.481995	1096.827347	3684.554932	3221.084595	0.005655734	0.049093986	0.014446113	0.048528601	0.042424318	LM			No_Urea_10kPa		2
D7.15R	07	5.34	4.2	38.7	0	27.4	0	D7.15R	cDNA	D7(10kPa-N)	D7(10kPa-N)_	7	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	11033989.5	711.7270813	5309.83728	1244.233643	4187.798096	4708.527181	0.006450315	0.048122552	0.011276372	0.037953617	0.042672935	HM				No_Urea_10kPa	2
D14.02R	14	7.55	1223.9	104	38.49322321	53.8	75.32917819	D14.02R	cDNA	D14(1.0kPa+N)	D14(1.0kPa+N)_	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	10468304.75	1421.723602	1784.412201	5965.273132	1432.323151	3629.041077	0.013581221	0.017045857	0.056984137	0.013682475	0.034666941	HM_N		Urea_1.0kPa			3
D14.03R	14	7.58	1068.3	162.7	18.33686274	51.2	1129.975672	D14.03R	cDNA	D14(1.0kPa+N)	D14(1.0kPa+N)_	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	9828334.25	1385.422241	1576.874695	4341.678314	1951.088898	3754.469849	0.014096206	0.01604417	0.044175119	0.019851674	0.03820047	HM_N			Urea_1.0kPa		3
D14.04R	14	8.08	1131.5	165.7	46.82380547	49.4	2879.097798	D14.04R	cDNA	D14(1.0kPa+N)	D14(1.0kPa+N)_	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	10485512	1856.702393	2168.369843	5166.921875	1105.73848	3696.080933	0.017707313	0.020679675	0.049276772	0.010545393	0.035249408	LM_N				Urea_1.0kPa	3
D14.06R	14	8.06	1370.3	58	11.71605001	29.7	31.44276306	D14.06R	cDNA	D14(10kPa+N)	D14(10kPa+N)_	14	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	11895083.75	1791.024567	3991.439392	2500.96991	593.985321	1701.384338	0.015056847	0.03355537	0.02102524	0.004993536	0.014303257	LM_N		Urea_10kPa			3
D14.07R	14	8.08	1252.3	54.8	10.33951073	30.5	14.39642837	D14.07R	cDNA	D14(10kPa+N)	D14(10kPa+N)_	14	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	5119446.75	1127.321533	991.2093964	3221.987427	698.3759537	2645.728516	0.022020378	0.019361651	0.062936243	0.013641629	0.051679969	LM_N			Urea_10kPa		3
D14.08R	14	8.11	1277.8	46	11.13081838	29.9	93.68372337	D14.08R	cDNA	D14(10kPa+N)	D14(10kPa+N)_	14	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	10399395.5	1927.069275	2242.524445	5188.025513	985.4311066	4463.94519	0.018530589	0.021563989	0.04988776	0.00947585	0.042925045	HM_N				Urea_10kPa	3
D21.01R	21	7.36	985.4	89.9	134.5294798	52.4	5497.837159	D21.01R	cDNA	D21(1.0kPa+N)	D21(1.0kPa+N)_	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	9184012	964.5608978	1528.666443	9343.303711	1468.636627	3087.181335	0.010502609	0.016644866	0.101734446	0.015991232	0.033614735	HM_N		Urea_1.0kPa			4
D21.02R	21	6.03	1083.6	172.7	87.16962346	52.5	667.698387	D21.02R	cDNA	D21(1.0kPa+N)	D21(1.0kPa+N)_	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	6518948.625	1050.995026	1263.527634	8113.993896	1736.259033	2593.037201	0.016122155	0.019382384	0.12446783	0.026634035	0.039776923	HM_N			Urea_1.0kPa		4
D21.04R	21	6.52	1142.8	199.5	87.70636039	53.4	7719.744867	D21.04R	cDNA	D21(1.0kPa+N)	D21(1.0kPa+N)_	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	4423380.5	747.7587128	1238.428864	3227.488647	636.3706004	1118.208008	0.016904689	0.02799734	0.072964301	0.014386522	0.02527949	LM_N				Urea_1.0kPa	4
D21.08R	21	7.54	1167.1	113.2	30.03261254	30.1	207.6475672	D21.08R	cDNA	D21(10kPa+N)	D21(10kPa+N)_	21	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	13642675.25	1013.248123	1480.956909	8641.675537	1475.627502	2152.279694	0.007427049	0.010855326	0.063342969	0.010816262	0.015776082	HM_N		Urea_10kPa	Urea_10kPa	Urea_10kPa	4
D21.09R	21	5.41	0	24	0.257388809	60.3	68.39282969	D21.09R	cDNA	D21(1.0kPa-N)	D21(1.0kPa-N)_	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	11320776.5	618.1524048	4124.997375	1133.799866	4288.410034	3528.17627	0.005460336	0.036437407	0.010015213	0.037880882	0.031165497	HM		No_Urea_1.0kPa			4
D21.10R	21	5.45	0.1	23	0.173798844	57.3	69.51522047	D21.10R	cDNA	D21(1.0kPa-N)	D21(1.0kPa-N)_	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	21927497	423.9419708	7036.256104	1121.879379	5735.449341	3136.594055	0.001933381	0.032088734	0.005116313	0.026156425	0.014304387	HM			No_Urea_1.0kPa		4
D21.11R	21	5.48	0.2	26.1	0.0516431	48	9.828282022	D21.11R	cDNA	D21(1.0kPa-N)	D21(1.0kPa-N)_	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	14145915.75	1196.023926	8218.082642	2040.107697	5833.410767	4953.912842	0.008454906	0.058095091	0.014421885	0.041237421	0.035020093	LM				No_Urea_1.0kPa	4
D21.16R	21	5.5	0.2	36.5	0	27.5	3.459456181	D21.16R	cDNA	D21(10kPa-N)	D21(10kPa-N)_	21	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	13677127.25	1204.399933	3107.806152	1626.058716	5592.366394	4193.740051	0.008805942	0.022722653	0.011888891	0.040888458	0.030662434	HM		No_Urea_10kPa	No_Urea_10kPa	No_Urea_10kPa	4
D35.01R	35	5.56	799	389	7.757271625	54.8	30155.14358	D35.01R	cDNA	D35(1.0kPa+N)	D35(1.0kPa+N)_	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	7229952.75	980.9562836	1213.809448	4986.968384	1072.095993	2378.684998	0.013567949	0.016788622	0.0689765	0.014828534	0.032900422	HM_N		Urea_1.0kPa			5
D35.02R	35	5.27	674.2	366.6	1.210263164	53.5	3166.565397	D35.02R	cDNA	D35(1.0kPa+N)	D35(1.0kPa+N)_	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	6322182.875	742.6965332	1196.956573	7351.262207	1250.630554	2326.427643	0.01174747	0.018932647	0.116277279	0.019781626	0.036797854	HM_N			Urea_1.0kPa		5
D35.03R	35	5.07	639.4	422.5	0.114145805	53.6	2376.47712	D35.03R	cDNA	D35(1.0kPa+N)	D35(1.0kPa+N)_	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	7612851	978.4917603	1564.637848	4896.123535	1571.936539	2376.827759	0.012853158	0.020552587	0.064313928	0.020648461	0.031221257	LM_N				Urea_1.0kPa	5
D35.05R	35	6.92	1249.8	324.6	0.395243182	28.1	90.20502042	D35.05R	cDNA	D35(10kPa+N)	D35(10kPa+N)_	35	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	15054565.5	42.30482197	377.5996704	19141.81836	181.2617188	165.6340256	0.00028101	0.002508207	0.12714959	0.001204032	0.001100225	LM_N		Urea_10kPa			5
D35.06R	35	6.54	1210.9	357.9	0.385075494	27.8	277.323532	D35.06R	cDNA	D35(10kPa+N)	D35(10kPa+N)_	35	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	23481262	73.89184189	830.0242157	21832.93213	543.8133926	1320.35907	0.000314684	0.003534837	0.092980233	0.002315946	0.005623033	LM_N			Urea_10kPa		5
D35.07R	35	6.73	1073.4	316.7	0.178394595	28.4	343.1453771	D35.07R	cDNA	D35(10kPa+N)	D35(10kPa+N)_	35	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	14466583.5	38.8362298	746.7455597	14357.07642	396.4026947	490.0209122	0.000268455	0.005161865	0.099243034	0.002740127	0.003387261	HM_N				Urea_10kPa	5
D63.01R	63	6.29	357.7	234	0.07	55.2	910.8322272	D63.01R	cDNA	D63(1.0kPa+N)	D63(1.0kPa+N)_	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	2913817.313	296.5284944	494.5116959	1496.073059	625.4608231	1078.074692	0.010176633	0.016971266	0.051344093	0.021465341	0.036998706	HM_N		Urea_1.0kPa			6
D63.02R	63	6.49	509.5	112.4	0.12	51	367.8671931	D63.02R	cDNA	D63(1.0kPa+N)	D63(1.0kPa+N)_	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	3858803.625	348.4395313	550.6912766	1643.024414	441.0792847	1109.358673	0.00902973	0.014271037	0.042578596	0.011430467	0.028748772	HM_N			Urea_1.0kPa		6
D63.03R	63	5.86	270.3	267.5	0.05	49.9	213.4831509	D63.03R	cDNA	D63(1.0kPa+N)	D63(1.0kPa+N)_	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	2685392.813	304.7376957	660.7088318	1117.941498	274.0686824	496.6415634	0.011347975	0.024603806	0.041630464	0.010205907	0.018494187	LM_N				Urea_1.0kPa	6
D63.05R	63	5.64	803.7	408.3	0.05	27.2	20.90775416	D63.05R	cDNA	D63(10kPa+N)	D63(10kPa+N)_	63	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	10856879.5	152.9420357	1613.706299	6126.526306	351.3398209	751.6658936	0.001408711	0.014863445	0.056429901	0.003236103	0.006923406	LM_N		Urea_10kPa			6
D63.06R	63	5.76	810.4	363.3	0.05	27.2	23.81249338	D63.06R	cDNA	D63(10kPa+N)	D63(10kPa+N)_	63	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	10055747.75	85.06441116	754.5155334	7485.254517	476.0592117	424.5384216	0.000845928	0.007503326	0.074437572	0.0047342	0.004221848	LM_N			Urea_10kPa		6
D63.07R	63	5.67	839.9	360.9	0.06	28.7	12.96283477	D63.07R	cDNA	D63(10kPa+N)	D63(10kPa+N)_	63	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	2410537.344	196.2027493	632.160965	4035.027405	669.6094894	554.3899689	0.008139378	0.026224898	0.167391201	0.027778433	0.022998605	HM_N				Urea_10kPa	6
D63.09R	63	5.51	2.1	30	0.07	44.4	59.54564276	D63.09R	cDNA	D63(1.0kPa-N)	D63(1.0kPa-N)_	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	3904476	450.3920631	1734.047028	861.2234497	2633.478943	2198.949677	0.011535276	0.044411773	0.022057338	0.067447692	0.056318689	HM		No_Urea_1.0kPa			6
D63.10R	63	5.75	2.6	23	0.1	52.3	119.0930799	D63.10R	cDNA	D63(1.0kPa-N)	D63(1.0kPa-N)_	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	5669176.375	550.8749313	2508.986725	1309.244431	2738.992004	2176.708221	0.009717019	0.044256636	0.023094085	0.048313755	0.038395493	HM			No_Urea_1.0kPa		6
D63.11R	63	5.54	1.9	29.2	0.08	50.3	49.90212505	D63.11R	cDNA	D63(1.0kPa-N)	D63(1.0kPa-N)_	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	3114291.068	343.901432	1983.282166	643.9144821	2925.286407	1658.205658	0.011042688	0.063683263	0.020676118	0.093931053	0.053245044	LM				No_Urea_1.0kPa	6
D63.13R	63	5.25	1.9	33.5	0.04	28.5	0	D63.13R	cDNA	D63(10kPa-N)	D63(10kPa-N)_	63	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	7727441.5	705.6107585	4024.225769	918.2940521	3907.385315	3307.743652	0.009131234	0.052077078	0.011883546	0.050565059	0.042805159	LM		No_Urea_10kPa			6
D63.14R	63	5.31	0.9	40.5	0.04	27.2	0	D63.14R	cDNA	D63(10kPa-N)	D63(10kPa-N)_	63	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	9792861.25	375.3004379	3323.788147	859.2220612	3478.921387	2548.992065	0.003832388	0.03394093	0.008773963	0.035525076	0.026029084	LM			No_Urea_10kPa		6
D63.15R	63	5.59	1	41	0.06	26.1	0	D63.15R	cDNA	D63(10kPa-N)	D63(10kPa-N)_	63	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	4217413.313	823.3211823	3226.165161	804.5219498	1563.921631	1602.824097	0.019521947	0.076496301	0.019076194	0.037082484	0.038004909					No_Urea_10kPa	6
C1	Field sample							C1	DNA	C			Field sample																								
C2	Field sample							C2	DNA	C			Field sample																								
C3	Field sample							C3	DNA	C			Field sample																								
D0.01	0	6.67	271.6	39.4	0.019604047	47.7	17.75921616	D0-01	DNA	D0(1.0kPa+N)	D0(1.0kPa+N)	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA		977187.9375	28918.71973	21053.46191	5922.837646	97879.95703	33904.02051	2.95938157	2.154494658	0.606110393	10.01649256	3.469549634			Urea_1.0kPa			1
D0.02	0	6.72	349.8	37.7	0	48.7	33.11153016	D0-02	DNA	D0(1.0kPa+N)	D0(1.0kPa+N)	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA		1338779.781	32550.38574	30511.33154	8582.867432	79576.63672	42452.94238	2.431347276	2.27904036	0.641096284	5.943967621	3.171017592				Urea_1.0kPa		1
D0.03	0	6.54	247.4	36.5	0.012164882	47.5	54.59774664	D0-03	DNA	D0(1.0kPa+N)	D0(1.0kPa+N)	0	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA		1299511	43038.2998	31869.35156	9651.539795	110492.4082	54026.59668	3.311884225	2.452411066	0.74270551	8.502614307	4.157455895					Urea_1.0kPa	1
D0.05	0	6.7	370.6	48.4	0	31.2	33.53050642	D0-05	DNA	D0(10kPa+N)	D0(10kPa+N)	0	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA		825357.125	34905.50342	29195.021	6203.47583	74131.71094	47421.94141	4.229139407	3.537259219	0.751611108	8.981773912	5.74562695			Urea_10kPa			1
D0.07	0	6.67	393.4	39.2	0	34	33.6062973	D0-07	DNA	D0(10kPa+N)	D0(10kPa+N)	0	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA		1604777.125	44005.22656	32359.85254	8635.125366	175508.0938	53615.36914	2.742139446	2.016470202	0.538088762	10.93660241	3.340985381				Urea_10kPa		1
D0.08	0	6.6	401.5	47.8	0	31.4	33.45471554	D0-08	DNA	D0(10kPa+N)	D0(10kPa+N)	0	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA		1659031.625	51893.39453	39452.2207	9052.640137	217178.0078	64599.41113	3.12793281	2.378027044	0.545658082	13.09064906	3.893802274					Urea_10kPa	1
D0.09	0	5.7	2.7	35.1	0	51.3	28.34259088	D0-09	DNA	D0(1.0kPa-N)	D0(1.0kPa-N)	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA		997970.5469	38274.95557	31901.48291	9382.302002	55543.19727	52011	3.835279076	3.196635713	0.940138167	5.565614881	5.211676854			No_Urea_1.0kPa			1
D0.10	0	5.68	2.5	49.7	0.015703067	53.4	43.16732844	D0-10	DNA	D0(1.0kPa-N)	D0(1.0kPa-N)	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA		1566964.531	43244.5	33821.40918	10682.27051	105177.084	55688.04785	2.759762531	2.158402983	0.681717441	6.712154735	3.55388056				No_Urea_1.0kPa		1
D0.11	0	5.74	6.2	42.3	0	50.7	28.35363083	D0-11	DNA	D0(1.0kPa-N)	D0(1.0kPa-N)	0	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA		1166497.375	29050.86084	24070.66162	8283.071655	60857.1709	38280.87939	2.490435166	2.063498996	0.710080608	5.217085971	3.281694431					No_Urea_1.0kPa	1
D0.13	0	5.61	1.8	55.3	0.0198027	30.1	36.50695939	D0-13	DNA	D0(10kPa-N)	D0(10kPa-N)	0	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA		1305402.188	33343.18604	30074.78857	7105.513672	66464.6709	49152.82715	2.55424622	2.303871471	0.544316054	5.091509079	3.765339726			No_Urea_10kPa			1
